Body,Head,Head Coverage,Standard Confidence,Pca Confidence,Support,Body Size,Pca Body Size,Functional Variable
?a  treatmentType  Radiotherapy_To_Bone  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasAgeCategory  Old  ?a  hasBiomarker  BRAF_Negative   ,?a  patientDrug  Pembrolizumab,0.007937,0.5,0.5,11,22,22,?a
?a  hasAgeCategory  Old  ?a  patientDrug  Afatinib   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasGender  Female   ,?a  patientDrug  Pembrolizumab,0.047619,0.545455,0.545455,66,121,121,?a
?a  hasAgeCategory  Old  ?a  hasStage  IIA   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  patientDrug  Pembrolizumab,0.055556,0.538462,0.538462,77,143,143,?a
?a  hasRelapse_Progression  Progression  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  patientDrug  Pembrolizumab,0.087302,0.52381,0.52381,121,231,231,?a
?a  hasStage  IVB  ?a  patientDrug  Other   ,?a  patientDrug  Pembrolizumab,0.015873,0.666667,0.666667,22,33,33,?a
?a  hasGender  Female  ?a  hasStage  IVB   ,?a  patientDrug  Pembrolizumab,0.031746,0.666667,0.666667,44,66,66,?a
?a  hasAgeCategory  Old  ?a  treatmentType  Thoracoscopy   ,?a  patientDrug  Pembrolizumab,0.015873,0.666667,0.666667,22,33,33,?a
?a  hasStage  IVB  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.015873,0.5,0.5,22,44,44,?a
?a  patientDrug  Paclitaxel  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.015873,1,1,22,22,22,?a
?a  hasStage  IVB  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  patientDrug  Paclitaxel  ?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasAgeCategory  Young  ?a  treatmentType  Immunotherapy   ,?a  patientDrug  Pembrolizumab,0.063492,0.615385,0.615385,88,143,143,?a
?a  hasRelapse_Progression  Relapse  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  patientDrug  Afatinib  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  patientDrug  Brigatinib  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  patientDrug  Alectinib  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  patientDrug  Carboplatin  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.02381,0.75,0.75,33,44,44,?a
?a  hasAgeCategory  Young  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  patientDrug  Pembrolizumab,0.02381,0.75,0.75,33,44,44,?a
?a  patientDrug  Placebo%20Controlled%20Study  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Other   ,?a  patientDrug  Pembrolizumab,0.015873,0.666667,0.666667,22,33,33,?a
?a  hasStage  IV  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.007937,0.5,0.5,11,22,22,?a
?a  hasGender  Male  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.007937,0.5,0.5,11,22,22,?a
?a  treatmentType  Neoadjuvant_Chemotherapy  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  treatmentType  Thoracoscopy  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasAgeCategory  Old  ?a  hasRelapse_Progression  Relapse   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Immunotherapy   ,?a  patientDrug  Pembrolizumab,0.063492,0.533333,0.533333,88,165,165,?a
?a  hasBiomarker  BRAF_Negative  ?a  hasGender  Male   ,?a  patientDrug  Pembrolizumab,0.007937,0.5,0.5,11,22,22,?a
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.02381,0.5,0.5,33,66,66,?a
?a  hasGender  Male  ?a  patientDrug  Crizotinib   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasGender  Male  ?a  hasRelapse_Progression  Relapse   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasGender  Male  ?a  hasStage  IIA   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasGender  Male  ?a  hasStage  IIIB   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasGender  Male  ?a  hasSmokingHabit  NonSmoker   ,?a  patientDrug  Pembrolizumab,0.007937,0.5,0.5,11,22,22,?a
?a  hasAgeCategory  Old  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  patientDrug  Pembrolizumab,0.015873,0.4,0.4,22,55,55,?a
?a  hasGender  Male  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  patientDrug  Pembrolizumab,0.007937,0.5,0.5,11,22,22,?a
?a  hasAgeCategory  Old  ?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasGender  Female  ?a  patientDrug  Other   ,?a  patientDrug  Pembrolizumab,0.015873,0.666667,0.666667,22,33,33,?a
?a  hasAgeCategory  Young  ?a  hasStage  IIIB   ,?a  patientDrug  Pembrolizumab,0.015873,1,1,22,22,22,?a
?a  hasAgeCategory  Young  ?a  hasGender  Female   ,?a  patientDrug  Pembrolizumab,0.047619,0.545455,0.545455,66,121,121,?a
?a  hasGender  Female  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  patientDrug  Pembrolizumab,0.055556,0.583333,0.583333,77,132,132,?a
?a  hasStage  IVB  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  patientDrug  Pembrolizumab,0.031746,0.571429,0.571429,44,77,77,?a
?a  hasBiomarker  ALK_Negative  ?a  hasBiomarker  PDL1_Positive   ,?a  hasBiomarker  EGFR_Negative,0.090909,0.615385,0.615385,88,143,143,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Negative,0.068182,0.75,0.75,66,88,88,?a
?a  patientDrug  Lorlatinib  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasAgeCategory  Young  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  patientDrug  Pembrolizumab,0.055556,0.583333,0.583333,77,132,132,?a
?a  patientDrug  Nivolumab  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.007937,0.5,0.5,11,22,22,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  EGFR_Negative,0.022727,1,1,22,22,22,?a
?a  hasStage  IIA  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasRelapse_Progression  Progression   ,?a  hasBiomarker  EGFR_Negative,0.090909,0.727273,0.727273,88,121,121,?a
?a  hasAgeCategory  Old  ?a  patientDrug  Other   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  treatmentType  Open_Surgical_Procedure  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.007937,0.5,0.5,11,22,22,?a
?a  treatmentType  Intravenous_Chemotherapy  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.02381,0.5,0.5,33,66,66,?a
?a  hasBiomarker  ALK_Positive  ?a  hasGender  Male   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasAgeCategory  Old  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Immunotherapy   ,?a  hasBiomarker  EGFR_Negative,0.090909,0.666667,0.666667,88,132,132,?a
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.8,0.8,44,55,55,?a
?a  hasGender  Male  ?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Negative,0.090909,0.727273,0.727273,88,121,121,?a
?a  hasGender  Male  ?a  treatmentType  Thoracoscopy   ,?a  patientDrug  Pembrolizumab,0.007937,0.5,0.5,11,22,22,?a
?a  hasGender  Female  ?a  treatmentType  Immunotherapy   ,?a  patientDrug  Pembrolizumab,0.063492,0.571429,0.571429,88,154,154,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Carboplatin   ,?a  patientDrug  Pembrolizumab,0.039683,0.714286,0.714286,55,77,77,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Other   ,?a  hasBiomarker  EGFR_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasBiomarker  ROS1_Negative   ,?a  hasBiomarker  EGFR_Negative,0.079545,0.583333,0.583333,77,132,132,?a
?a  hasBiomarker  BRAF_Negative  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  BRAF_Negative  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  EGFR_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Cisplatin   ,?a  hasBiomarker  EGFR_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  EGFR_Negative,0.034091,0.6,0.6,33,55,55,?a
?a  hasBiomarker  BRAF_Negative  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  BRAF_Negative  ?a  patientDrug  Durvalumab   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  BRAF_Negative  ?a  hasRelapse_Progression  No_Progression   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  BRAF_Negative  ?a  hasRelapse_Progression  Progression   ,?a  hasBiomarker  EGFR_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Negative,0.056818,0.714286,0.714286,55,77,77,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  EGFR_Negative,0.079545,0.7,0.7,77,110,110,?a
?a  hasBiomarker  BRAF_Negative  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  EGFR_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasGender  Male   ,?a  hasBiomarker  EGFR_Negative,0.034091,0.75,0.75,33,44,44,?a
?a  hasGender  Male  ?a  patientDrug  Afatinib   ,?a  patientDrug  Pembrolizumab,0.007937,0.5,0.5,11,22,22,?a
?a  hasGender  Male  ?a  patientDrug  Vinorelbine   ,?a  patientDrug  Pembrolizumab,0.015873,0.5,0.5,22,44,44,?a
?a  hasBiomarker  BRAF_Negative  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  BRAF_Negative  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  BRAF_Negative  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Negative,0.034091,1,1,33,33,33,?a
?a  patientDrug  Carboplatin  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  patientDrug  Pembrolizumab,0.063492,0.5,0.5,88,176,176,?a
?a  treatmentType  Intravenous_Chemotherapy  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  patientDrug  Pembrolizumab,0.031746,0.5,0.5,44,88,88,?a
?a  patientDrug  Carboplatin  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  patientDrug  Pembrolizumab,0.031746,0.5,0.5,44,88,88,?a
?a  hasGender  Female  ?a  patientDrug  Carboplatin   ,?a  patientDrug  Pembrolizumab,0.047619,0.6,0.6,66,110,110,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Other   ,?a  hasBiomarker  EGFR_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  BRAF_Negative  ?a  patientDrug  Nivolumab   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  EGFR_Negative,0.056818,0.625,0.625,55,88,88,?a
?a  hasBiomarker  ALK_Negative  ?a  hasGender  Male   ,?a  hasBiomarker  EGFR_Negative,0.056818,0.555556,0.555556,55,99,99,?a
?a  hasBiomarker  BRAF_Negative  ?a  hasStage  IIIA   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  BRAF_Negative  ?a  hasGender  Male   ,?a  hasBiomarker  EGFR_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  ALK_Negative  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  EGFR_Negative,0.056818,0.833333,0.833333,55,66,66,?a
?a  hasAgeCategory  Old  ?a  hasBiomarker  BRAF_Negative   ,?a  hasBiomarker  EGFR_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  BRAF_Negative  ?a  treatmentType  Immunotherapy   ,?a  hasBiomarker  EGFR_Negative,0.034091,1,1,33,33,33,?a
?a  hasAgeCategory  Old  ?a  hasBiomarker  PDL1_Positive   ,?a  hasBiomarker  EGFR_Negative,0.034091,0.6,0.6,33,55,55,?a
?a  hasBiomarker  BRAF_Negative  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  ALK_Negative  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Negative,0.113636,0.588235,0.588235,110,187,187,?a
?a  treatmentType  Radiotherapy_To_Bone  ?a  treatmentType  Thoracoscopy   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasBiomarker  BRAF_Negative  ?a  patientDrug  Carboplatin   ,?a  patientDrug  Pembrolizumab,0.015873,0.666667,0.666667,22,33,33,?a
?a  patientDrug  Carboplatin  ?a  patientDrug  Other   ,?a  patientDrug  Pembrolizumab,0.015873,0.666667,0.666667,22,33,33,?a
?a  patientDrug  Carboplatin  ?a  treatmentType  Thoracoscopy   ,?a  patientDrug  Pembrolizumab,0.015873,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Cisplatin   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.571429,0.571429,44,77,77,?a
?a  hasStage  IVB  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.571429,0.571429,44,77,77,?a
?a  hasStage  IVB  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  EGFR_Negative,0.034091,0.75,0.75,33,44,44,?a
?a  hasStage  IVB  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  EGFR_Negative,0.034091,0.75,0.75,33,44,44,?a
?a  hasStage  IVB  ?a  patientDrug  Gemcitabine   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasStage  IVB  ?a  patientDrug  Nintedanib   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.571429,0.571429,44,77,77,?a
?a  hasStage  IVB  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  EGFR_Negative,0.022727,1,1,22,22,22,?a
?a  hasRelapse_Progression  Progression  ?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Negative,0.056818,0.625,0.625,55,88,88,?a
?a  hasSmokingHabit  FormerSmoker  ?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.666667,0.666667,44,66,66,?a
?a  hasGender  Female  ?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.666667,0.666667,44,66,66,?a
?a  hasAgeCategory  Young  ?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.571429,0.571429,44,77,77,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Negative,0.056818,0.833333,0.833333,55,66,66,?a
?a  hasBiomarker  BRAF_Negative  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  EGFR_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  ALK_Negative  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  EGFR_Negative,0.102273,0.692308,0.692308,99,143,143,?a
?a  hasBiomarker  BRAF_Negative  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  ALK_Negative  ?a  hasRelapse_Progression  Progression   ,?a  hasBiomarker  EGFR_Negative,0.102273,0.5625,0.5625,99,176,176,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasGender  Male   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.666667,0.666667,44,66,66,?a
?a  hasGender  Male  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.8,0.8,44,55,55,?a
?a  hasBiomarker  BRAF_Negative  ?a  hasStage  IV   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasGender  Male  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Negative,0.034091,0.75,0.75,33,44,44,?a
?a  hasBiomarker  ALK_Negative  ?a  treatmentType  Immunotherapy   ,?a  hasBiomarker  EGFR_Negative,0.113636,0.588235,0.588235,110,187,187,?a
?a  hasBiomarker  ALK_Negative  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  EGFR_Negative,0.022727,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  ALK_Negative  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  EGFR_Negative,0.022727,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  BRAF_Negative  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  patientDrug  Pembrolizumab,0.015873,0.666667,0.666667,22,33,33,?a
?a  patientDrug  Other  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  patientDrug  Pembrolizumab,0.007937,1,1,11,11,11,?a
?a  hasBiomarker  MET_Negative  ?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasGender  Male  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  EGFR_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  KRAS_Negative  ?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  RET_Negative  ?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Negative,0.056818,0.625,0.625,55,88,88,?a
?a  hasStage  IVB  ?a  patientDrug  Cisplatin   ,?a  hasBiomarker  EGFR_Negative,0.022727,0.666667,0.666667,22,33,33,?a
?a  hasGender  Female  ?a  patientDrug  Nivolumab   ,?a  hasBiomarker  EGFR_Negative,0.022727,0.4,0.4,22,55,55,?a
?a  hasGender  Female  ?a  hasRelapse_Progression  Progression   ,?a  hasBiomarker  EGFR_Negative,0.068182,0.461538,0.461538,66,143,143,?a
?a  hasStage  IVB  ?a  patientDrug  Other   ,?a  hasBiomarker  EGFR_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  EGFR_Negative,0.079545,0.777778,0.777778,77,99,99,?a
?a  hasStage  IVB  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  EGFR_Negative,0.045455,1,1,44,44,44,?a
?a  hasStage  IVB  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Negative,0.056818,0.714286,0.714286,55,77,77,?a
?a  hasGender  Male  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.666667,0.666667,44,66,66,?a
?a  hasGender  Male  ?a  patientDrug  Cisplatin   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.571429,0.571429,44,77,77,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Cisplatin   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.8,0.8,44,55,55,?a
?a  patientDrug  Cisplatin  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.8,0.8,44,55,55,?a
?a  patientDrug  Cisplatin  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  EGFR_Negative,0.034091,0.75,0.75,33,44,44,?a
?a  hasAgeCategory  Young  ?a  hasGender  Male   ,?a  hasBiomarker  EGFR_Negative,0.034091,0.6,0.6,33,55,55,?a
?a  hasGender  Male  ?a  hasStage  IVA   ,?a  hasBiomarker  EGFR_Negative,0.022727,0.5,0.5,22,44,44,?a
?a  hasGender  Male  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  EGFR_Negative,0.056818,0.625,0.625,55,88,88,?a
?a  hasGender  Male  ?a  treatmentType  Immunotherapy   ,?a  hasBiomarker  EGFR_Negative,0.068182,0.5,0.5,66,132,132,?a
?a  patientDrug  Cisplatin  ?a  treatmentType  Immunotherapy   ,?a  hasBiomarker  EGFR_Negative,0.068182,0.6,0.6,66,110,110,?a
?a  patientDrug  Cisplatin  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  EGFR_Negative,0.045455,1,1,44,44,44,?a
?a  hasGender  Male  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  EGFR_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Carboplatin  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.571429,0.571429,44,77,77,?a
?a  hasGender  Male  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Negative,0.068182,0.545455,0.545455,66,121,121,?a
?a  hasGender  Female  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Negative,0.056818,0.454545,0.454545,55,121,121,?a
?a  patientDrug  Carboplatin  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  EGFR_Negative,0.034091,0.75,0.75,33,44,44,?a
?a  patientDrug  Carboplatin  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  EGFR_Negative,0.022727,0.666667,0.666667,22,33,33,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Negative,0.068182,0.666667,0.666667,66,99,99,?a
?a  hasAgeCategory  Old  ?a  hasGender  Female   ,?a  hasBiomarker  EGFR_Negative,0.022727,0.4,0.4,22,55,55,?a
?a  hasStage  IVB  ?a  treatmentType  Immunotherapy   ,?a  hasBiomarker  EGFR_Negative,0.056818,0.714286,0.714286,55,77,77,?a
?a  hasStage  IVB  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  patientDrug  Pembrolizumab  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Paclitaxel  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Crizotinib  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
?a  hasGender  Male  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  EGFR_Negative,0.022727,0.666667,0.666667,22,33,33,?a
?a  patientDrug  Cisplatin  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Negative,0.034091,0.75,0.75,33,44,44,?a
?a  patientDrug  Atezolizumab  ?a  patientDrug  Cisplatin   ,?a  hasBiomarker  EGFR_Negative,0.022727,0.666667,0.666667,22,33,33,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Cisplatin   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.666667,0.666667,44,66,66,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Cisplatin   ,?a  hasBiomarker  EGFR_Negative,0.045455,0.571429,0.571429,44,77,77,?a
?a  hasGender  Male  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  EGFR_Negative,0.022727,0.5,0.5,22,44,44,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Negative,0.022727,0.666667,0.666667,22,33,33,?a
?a  patientDrug  Cisplatin  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  EGFR_Negative,0.022727,0.666667,0.666667,22,33,33,?a
?a  patientDrug  Carboplatin  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  EGFR_Negative,0.068182,0.75,0.75,66,88,88,?a
?a  patientDrug  Vinorelbine  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  EGFR_Negative,0.011364,1,1,11,11,11,?a
